station_id,station_name_th,station_name_en,area_th,latitude,longitude,reading_date,reading_time,pm25_ugm3,pm25_aqi,pm10_ugm3,aqi,is_chiang_mai,is_northern,retrieved_at
93t,วิทยาลัยสารพัดช่างตรัง,"Polytechnic College, Trang ","ต.นาตาล่วง อ.เมือง, ตรัง",7.570238,99.588743,2026-09-05,02:00,5.8,10.0,13.0,10,False,False,2026-09-05T02:38:09
87t,สนามกีฬากลางจังหวัดตราด,Trat Provincial Central Stadium,"ต.บางพระ อ.เมือง, ตราด",12.234862,102.523721,2026-09-05,02:00,14.9,25.0,,25,False,False,2026-09-05T02:38:09
76t,ศูนย์การศึกษานอกโรงเรียน,"Non-Formal Education Centre, Mea Sot","ต.แม่ปะ อ.แม่สอด, ตาก",16.734413,98.566961,2026-09-04,17:00,11.0,18.0,,18,False,True,2026-09-05T02:38:09
105t,ศูนย์บริการสาธารณสุขเทศบาลเมืองนครนายก,Nakhon Nayok Municipality Public Health Service Center,"ต.บ้านใหญ่ อ.เมือง, นครนายก",14.20422,101.21509,2026-09-05,02:00,14.3,24.0,,24,False,False,2026-09-05T02:38:09
81t,อ่างเก็บน้ำประปา,Water reservoir,"ต.นครปฐม อ.เมือง, นครปฐม",13.832076,100.057961,2026-09-05,02:00,12.2,20.0,,20,False,False,2026-09-05T02:38:09
88t,สถานีอุตุนิยมวิทยานครพนม,"Meteorological stations, Nakhon Phanom","ต.ในเมือง อ.เมือง, นครพนม",17.412345,104.7786123,2026-09-05,02:00,13.7,23.0,23.0,23,False,False,2026-09-05T02:38:09
47t,สถานีสูบน้ำประตูพลแสน,Municipal Waste Water Pumping Station,"ต.ในเมือง อ.เมือง, นครราชสีมา",14.979537,102.098335,2026-09-05,02:00,19.4,36.0,,36,False,False,2026-09-05T02:38:09
89t,ศูนย์ฟื้นฟูสุขภาพผู้สูงอายุ,Elderly Health Rehabilitation Center,"ต.คลัง อ.เมือง, นครศรีธรรมราช",8.426923,99.961469,2026-09-04,22:00,5.6,9.0,12.0,9,False,False,2026-09-05T02:38:09
41t,โครงการชลประทานนครสวรรค์,Nakhonsawan Irrigation Project ,"ต.ปากน้ำโพ อ.เมือง, นครสวรรค์",15.68623,100.110556,2026-09-04,17:00,10.9,18.0,,18,False,False,2026-09-05T02:38:09
13t,กรมควบคุมโรค,Department of Disease Control,"ต.ตลาดขวัญ อ.เมือง, นนทบุรี",13.852778,100.529444,2026-09-05,02:00,10.2,17.0,30.0,17,False,False,2026-09-05T02:38:09
22t,มหาวิทยาลัยสุโขทัยธรรมาธิราช ,Sukhothai Thammathirat Open University,"ต.บางพูด อ.ปากเกร็ด, นนทบุรี",13.907861,100.535641,2026-09-05,02:00,12.4,21.0,29.0,21,False,False,2026-09-05T02:38:09
