stationID,nameTH,nameEN,areaTH,areaEN,stationType,lat,long,forecast,AQILast.date,AQILast.time,AQILast.PM25.color_id,AQILast.PM25.aqi,AQILast.PM25.value,AQILast.PM10.color_id,AQILast.PM10.aqi,AQILast.PM10.value,AQILast.O3.color_id,AQILast.O3.aqi,AQILast.O3.value,AQILast.CO.color_id,AQILast.CO.aqi,AQILast.CO.value,AQILast.NO2.color_id,AQILast.NO2.aqi,AQILast.NO2.value,AQILast.SO2.color_id,AQILast.SO2.aqi,AQILast.SO2.value,AQILast.AQI.color_id,AQILast.AQI.aqi,AQILast.AQI.param
44t,เทศบาลนครหาดใหญ่ ,Hat Yai Municipality,"ต.หาดใหญ่ อ.หาดใหญ่, สงขลา","Hat Yai, Songkhla",GROUND,7.020434,100.484088,[],2026-09-04,22:00,1,10,5.9,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,1,10,PM25
80t,ศาลากลาง จ.สตูล,"City Hall, Satun","ต.พิมาน อ.เมือง, สตูล","Phiman, Mueang, Satun",GROUND,6.624747,100.066159,[],2026-09-04,22:00,1,9,5.5,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,1,9,PM25
08t,ศูนย์ฟื้นฟูอาชีพคนพิการและทุพลภาพ ,Prabadang Rehabiltation Center,"ต.ทรงคนอง อ.พระประแดง, สมุทรปราการ","Song Kanong, Phra Pradaeng, Samut Prakan",GROUND,13.664087,100.543436,[],2026-09-05,02:00,2,39,20.6,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,2,39,PM25
16t,โรงไฟฟ้าพระนครใต้ ,South Bangkok Power Plant,"ต.บางโปรง อ.เมือง, สมุทรปราการ","Bang Prong, Meuang, Samut Prakan",GROUND,13.618,100.5562,[],2026-09-05,02:00,1,24,14.3,1,14,28,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,1,24,PM25
17t,บ้านพักกรมอุตสาหกรรมพื้นฐานและการเหมืองแร่,Residence for Dept. of Mineral Resources,"ต.ตลาด อ.พระประแดง, สมุทรปราการ","Talat, Phra Pradaeng, Samut Prakan",GROUND,13.652141,100.531805,[],2026-09-05,02:00,1,25,14.8,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,1,25,PM25
18t,ศาลากลางจังหวัดสมุทรปราการ ,"City Hall, Samut Prakan","ต.ปากน้ำ อ.เมือง, สมุทรปราการ","Pak Nam, Meuang, Samut Prakan",GROUND,13.599149,100.597345,[],2026-09-05,02:00,2,49,24.6,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,2,49,PM25
19t,การเคหะชุมชนเมืองใหม่บางพลี ,National Housing Authority Bangplee,"ต.บางเสาธง อ.บางเสาธง, สมุทรปราการ","Bang Sao Thong, Bang Sao Thong, Samut Prakan ",GROUND,13.5705,100.7862867,[],2026-09-05,02:00,2,29,16.5,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,2,29,PM25
84t,สำนักงานสาธารณสุขจังหวัดสมุทรสงคราม,Samut Songkhram Health Office," ต.ลาดใหญ่ อ.เมือง, สมุทรสงคราม","Mueang, Samut Songkhram",GROUND,13.428581,100.024664,[],2026-09-05,02:00,1,25,14.8,1,18,35,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,1,25,PM25
14t,แขวงการทางสมุทรสาคร ,Highway District,"ต.อ้อมน้อย อ.กระทุ่มแบน, สมุทรสาคร","Om Noi, Krathum Baen, Samut Sakhon",GROUND,13.7054879,100.315622,[],2026-09-05,02:00,2,45,22.8,0,-1,-1,1,4,6,1,2,0.40,1,5,13,1,2,8,2,45,PM25
27t,โรงเรียนสมุทรสาครวิทยาลัย,Samut Sakhon Wittayalai School,"ต.มหาชัย อ.เมือง, สมุทรสาคร","Maha Chai, Mueang, Samut Sakhon",GROUND,13.5502631,100.2647676,[],2026-09-05,02:00,2,34,18.2,0,-1,-1,0,-1,-1,0,-999,-1,0,-1,-1,0,-1,-1,2,34,PM25
